"Maarianhamina - Mariehamn";"Väkiluku";11812
"Marttila";"Väkiluku";1930
"Masku";"Väkiluku";9619
"Merijärvi";"Väkiluku";1055
"Merikarvia";"Väkiluku";2966
"Miehikkälä";"Väkiluku";1752
"Mikkeli";"Väkiluku";51919
"Muhos";"Väkiluku";8827
"Multia";"Väkiluku";1430
"Muonio";"Väkiluku";2325
"Mustasaari";"Väkiluku";19763
"Muurame";"Väkiluku";10551
"Mynämäki";"Väkiluku";7515
"Myrskylä";"Väkiluku";1715
"Mäntsälä";"Väkiluku";20957
"Mänttä-Vilppula";"Väkiluku";9271
"Mäntyharju";"Väkiluku";5522
"Naantali";"Väkiluku";19999
"Nakkila";"Väkiluku";4966
"Nivala";"Väkiluku";10454
"Nokia";"Väkiluku";35647
"Nousiainen";"Väkiluku";4695
"Nurmes";"Väkiluku";9130
"Nurmijärvi";"Väkiluku";44785
"Närpiö";"Väkiluku";9621
"Orimattila";"Väkiluku";15669
"Oripää";"Väkiluku";1315
"Orivesi";"Väkiluku";8839
"Oulainen";"Väkiluku";6978
"Oulu";"Väkiluku";214633
"Outokumpu";"Väkiluku";6409
"Padasjoki";"Väkiluku";2726
"Paimio";"Väkiluku";11236
"Paltamo";"Väkiluku";3037
"Parainen";"Väkiluku";14999
"Parikkala";"Väkiluku";4366
"Parkano";"Väkiluku";6123
"Pedersören kunta";"Väkiluku";11225
"Pelkosenniemi";"Väkiluku";912
"Pello";"Väkiluku";3253
"Perho";"Väkiluku";2578
"Pertunmaa";"Väkiluku";1577
"Petäjävesi";"Väkiluku";3596
"Pieksämäki";"Väkiluku";17050
"Pielavesi";"Väkiluku";4073
"Pietarsaari";"Väkiluku";19475
"Pihtipudas";"Väkiluku";3739
"Pirkkala";"Väkiluku";20763
"Polvijärvi";"Väkiluku";4064
"Pomarkku";"Väkiluku";1943
"Pori";"Väkiluku";83106
"Pornainen";"Väkiluku";4973
"Porvoo";"Väkiluku";51289
"Posio";"Väkiluku";2923
"Pudasjärvi";"Väkiluku";7479
"Pukkila";"Väkiluku";1781
"Punkalaidun";"Väkiluku";2650
"Puolanka";"Väkiluku";2359
"Puumala";"Väkiluku";2108
"Pyhtää";"Väkiluku";5065
"Pyhäjoki";"Väkiluku";2980
"Pyhäjärvi";"Väkiluku";4756
"Pyhäntä";"Väkiluku";1646
"Pyhäranta";"Väkiluku";1930
"Pälkäne";"Väkiluku";6337
"Pöytyä";"Väkiluku";8130
"Raahe";"Väkiluku";23797
"Raasepori";"Väkiluku";27209
"Raisio";"Väkiluku";25331
"Rantasalmi";"Väkiluku";3297
"Ranua";"Väkiluku";3599
"Rauma";"Väkiluku";38832
"Rautalampi";"Väkiluku";2933
"Rautavaara";"Väkiluku";1424
"Rautjärvi";"Väkiluku";3032
"Reisjärvi";"Väkiluku";2598
"Riihimäki";"Väkiluku";28483
"Ristijärvi";"Väkiluku";1164
"Rovaniemi";"Väkiluku";65286
"Ruokolahti";"Väkiluku";4758
"Ruovesi";"Väkiluku";4124
"Rusko";"Väkiluku";6436
"Rääkkylä";"Väkiluku";1902
"Saarijärvi";"Väkiluku";8847
"Salla";"Väkiluku";3344
"Salo";"Väkiluku";51100
"Saltvik";"Väkiluku";1791
"Sastamala";"Väkiluku";23515
"Sauvo";"Väkiluku";2974
